name,org,school,company,industry
Herb Kelleher,Delta Kappa Epsilon (F),Wesleyan University,Southwest,Transportation
Rollin King,Delta Kappa Epsilon (F),Case Western Reserve University,Southwest,Transportation
Frank Batten,Delta Kappa Epsilon (F),University of Virginia,Weather Channel,Media
Donald Fisher,Delta Kappa Epsilon (F),"University of California, Berkeley",Gap,Retail
Joseph C. Wilson,Delta Kappa Epsilon (F),University of Rochester,Xerox,Professional/Business Services
Roland Betts,Delta Kappa Epsilon (F),Yale University,"Chelsea Piers Management, Silver Screen Partners",Leisure/Hospitality
George W. Bush,Delta Kappa Epsilon (F),Yale University,Arbusto Energy,Utilities/Energy
Thatcher M. Brown Sr.,Delta Kappa Epsilon (F),Yale University,Brown Brothers Harriman & Company,Finance
Dick Clark,Delta Kappa Epsilon (F),Syracuse University,Dick Clark Productions,Entertainment
William Henry Draper III,Delta Kappa Epsilon (F),Yale University,Sutter Hill Ventures,Finance
Max Weitzenhoffer Jr.,Delta Kappa Epsilon (F),University of Oklahoma,Nimax Theatres Group,Leisure/Hospitality
F. Peter Cundill,Delta Kappa Epsilon (F),McGill University,Cundill Value Fund,Finance
Thomas W. Lamont Jr.,Delta Kappa Epsilon (F),Harvard University,Bankers Trust Company of New York,Finance
John Hay,Delta Kappa Epsilon (F),Yale University,J.H. Whitney & Company,Finance
Louis K. Comstock,Delta Kappa Epsilon (F),University of Michigan,L.K. Comstock Company,Utilities/Energy
William Randolph Hearst,Delta Kappa Epsilon (F),Harvard University,Hearst Publications,Media
Lanny J. Davis,Delta Kappa Epsilon (F),Yale University,Purple Nation Solutions,Professional/Business Services
George Caulkins,Delta Kappa Epsilon (F),Yale University,Caulkins Oil Company,Utilities/Energy
Peter Burwash,Delta Kappa Epsilon (F),University of Toronto,Peter Burwash International,Sports
Charles Wrede Petersmeyer,Delta Kappa Epsilon (F),"University of California, Berkeley",Corinthian Broadcasting Corporation,Media
August Belmont Jr.,Delta Kappa Epsilon (F),Harvard University,Interborough Rapid Transit Company,Transportation
William E. Simon,Delta Kappa Epsilon (F),Lafayette College,Wesray Capital Corporation,Finance
Isaac Tigrett,Delta Kappa Epsilon (F),Centre College,"Hard Rock Cafe, House of Blues",Entertainment
Charles F. Brush,Delta Kappa Epsilon (F),University of Michigan,Brush Electric Company,Utilities/Energy
Avery Rockefeller,Delta Kappa Epsilon (F),Yale University,"Schroder, Rockefeller & Co.",Finance
John H. Slater,Delta Kappa Epsilon (F),University of Pennsylvania,Slater Food Service Management,Food/Beverage
Francis S. Peabody,Delta Kappa Epsilon (F),Yale University,Peabody Coal,Utilities/Energy
Peter Crisp,Delta Kappa Epsilon (F),Yale University,Venrock Associates,Finance
Craig McCaw,Delta Kappa Epsilon (F),Stanford University,McCaw Cellular,Technology
Benno C. Schmidt Sr.,Delta Kappa Epsilon (F),"University of Texas, Austin",J.H. Whitney & Company,Finance
James K. Gray,Delta Kappa Epsilon (F),McGill University,Canadian Hunter Exploration,Utilities/Energy
Robert B. Goergen,Delta Kappa Epsilon (F),University of Rochester,"Blythe Inc., The Ropart Group",Manufacturing
"Theodore ""Ted"" Forstmann",Delta Kappa Epsilon (F),Yale University,Forstmann Little & Company,Finance
Walter Hoving,Delta Kappa Epsilon (F),Brown University,Hoving Corporation,Retail
Charles Hallock,Delta Kappa Epsilon (F),Yale University,Forest and Stream Magazine,Media
Frederick W. Smith,Delta Kappa Epsilon (F),Yale University,FedEx,Transportation
Halsey Minor,Delta Phi (F),University of Virginia,CNET,Media
William P. Carey,Delta Phi (F),University of Pennsylvania,W.P. Carey & Co.,Finance
H. Stanley Riffle,Delta Rho Upsilon (F),Carroll University,"Arenz, Molter, Macy, Riffle & Larson, S.C.",Law
Josh Bacon,Delta Rho Upsilon (F),Carroll University,The Sprinkler Guys,Utilities/Energy
Joseph Sabol,Delta Rho Upsilon (F),Carroll University,Joe Sabol Farm,Food/Beverage
Sean Mars,Delta Rho Upsilon (F),Carroll University,"Competitive Edge Software, SBBM Properties",Professional/Business Services
Michael Martin,Delta Rho Upsilon (F),Carroll University,EFFECT Partners,Professional/Business Services
Craig Cardella,Delta Rho Upsilon (F),Carroll University,Property Tax Eagle,Finance
John P. Macy,Delta Rho Upsilon (F),Carroll University,"Arenz, Molter, Macy, Riffle & Larson, S.C.",Law
John M. Harbert,Delta Sigma Phi (F),Auburn University,Harbert Corporation,Finance
Richard T. Farmer,Delta Tau Delta (F),Miami University (Ohio),Cintas,Professional/Business Services
Tom Gegax,Delta Tau Delta (F),"Indiana University, Bloomington",Tires Plus,Retail
John W. Nichols,Delta Tau Delta (F),University of Oklahoma,Devon Energy,Utilities/Energy
John Bello,Delta Upsilon (F),Tufts University,SoBe,Food/Beverage
Patrick Petitti,Delta Upsilon (F),Massachusetts Institute of Technology,HourlyNerd,Professional/Business Services
Jerry Richardson,Kappa Alpha Order (F),Wofford College,Carolina Panthers,Sports
Robert L. Johnson,Kappa Alpha Psi (F),University of Illinois,Black Entertainment Television,Entertainment
Colston E. Warne,Kappa Delta Rho (F),Cornell University,Consumers Union,Other
Archibald C. West,Kappa Delta Rho (F),Franklin College,Doritos,Food/Beverage
Ted Turner,Kappa Sigma (F),Brown University,"TNT, TBS, CNN, Atlanta Braves",Media
